date,symbol,minute,open,high,low,close,volume,adj_factor,adj_close,adj_open,adj_high,adj_low,ret
20260625,S001,930,995,1005,995,995,44200,1.0139,1008.8305,1008.8305,1018.9695,1008.8305,
20260625,S001,931,996,1005,995,996,45800,1.0139,1009.8444000000001,1009.8444000000001,1018.9695,1008.8305,0.0010050251256281673
20260625,S001,932,997,1005,995,1002,21900,1.0139,1015.9278,1010.8583,1018.9695,1008.8305,0.006024096385542244
20260625,S002,930,1020,1030,1020,1020,44200,1.0236,1044.0720000000001,1044.0720000000001,1054.308,1044.0720000000001,
20260625,S002,931,1021,1030,1020,1021,45800,1.0236,1045.0956,1045.0956,1054.308,1044.0720000000001,0.0009803921568627416
20260625,S002,932,1022,1030,1020,1027,21900,1.0236,1051.2372,1046.1192,1054.308,1044.0720000000001,0.005876591576885248
20260625,S003,930,1045,1055,1045,1045,44200,1.0177,1063.4965,1063.4965,1073.6735,1063.4965,
20260625,S003,931,1046,1055,1045,1046,45800,1.0177,1064.5142,1064.5142,1073.6735,1063.4965,0.000956937799043267
20260625,S003,932,1047,1055,1045,1052,21900,1.0177,1070.6204,1065.5319,1073.6735,1063.4965,0.005736137667303964
20260625,S004,930,1070,1080,1070,1070,44200,0.9723,1040.361,1040.361,1050.084,1040.361,
20260625,S004,931,1071,1080,1070,1071,45800,0.9723,1041.3333,1041.3333,1050.084,1040.361,0.0009345794392523477
20260625,S004,932,1072,1080,1070,1077,21900,0.9723,1047.1671000000001,1042.3056000000001,1050.084,1040.361,0.0056022408963587456
20260625,S005,930,1095,1105,1095,1095,44200,0.9775,1070.3625,1070.3625,1080.1375,1070.3625,
20260625,S005,931,1096,1105,1095,1096,45800,0.9775,1071.3400000000001,1071.3400000000001,1080.1375,1070.3625,0.0009132420091326754
20260625,S005,932,1097,1105,1095,1102,21900,0.9775,1077.205,1072.3175,1080.1375,1070.3625,0.005474452554744325
20260625,S006,930,1120,1130,1120,1120,44200,1.0392,1163.904,1163.904,1174.2959999999998,1163.904,
20260625,S006,931,1121,1130,1120,1121,45800,1.0392,1164.9432,1164.9432,1174.2959999999998,1163.904,0.0008928571428570287
20260625,S006,932,1122,1130,1120,1127,21900,1.0392,1171.1783999999998,1165.9823999999999,1174.2959999999998,1163.904,0.005352363960749118
20260625,S007,930,1145,1155,1145,1145,44200,0.9525,1090.6125,1090.6125,1100.1375,1090.6125,
20260625,S007,931,1146,1155,1145,1146,45800,0.9525,1091.565,1091.565,1100.1375,1090.6125,0.0008733624454149158
20260625,S007,932,1147,1155,1145,1152,21900,0.9525,1097.28,1092.5175,1100.1375,1090.6125,0.005235602094240788
20260625,S008,930,1170,1180,1170,1170,44200,0.9587,1121.679,1121.679,1131.266,1121.679,
20260625,S008,931,1171,1180,1170,1171,45800,0.9587,1122.6377,1122.6377,1131.266,1121.679,0.0008547008547008517
20260625,S008,932,1172,1180,1170,1177,21900,0.9587,1128.3899,1123.5964,1131.266,1121.679,0.005123825789923098
20260626,S001,930,998,1008,998,998,44200,0.9699,967.9602,967.9602,977.6591999999999,967.9602,
20260626,S001,931,999,1008,998,999,45800,0.9699,968.9301,968.9301,977.6591999999999,967.9602,0.0010020040080160886
20260626,S001,932,1000,1008,998,1005,21900,0.9699,974.7495,969.9,977.6591999999999,967.9602,0.006006006006005871
20260626,S002,930,1023,1033,1023,1023,44200,0.9527,974.6120999999999,974.6120999999999,984.1391,974.6120999999999,
20260626,S002,931,1024,1033,1023,1024,45800,0.9527,975.5648,975.5648,984.1391,974.6120999999999,0.0009775171065493637
20260626,S002,932,1025,1033,1023,1030,21900,0.9527,981.281,976.5175,984.1391,974.6120999999999,0.005859375
20260626,S003,930,1048,1058,1048,1048,44200,0.9922,1039.8256,1039.8256,1049.7476,1039.8256,
20260626,S003,931,1049,1058,1048,1049,45800,0.9922,1040.8178,1040.8178,1049.7476,1039.8256,0.000954198473282597
20260626,S003,932,1050,1058,1048,1055,21900,0.9922,1046.771,1041.81,1049.7476,1039.8256,0.0057197330791229906
20260626,S004,930,1073,1083,1073,1073,44200,0.9719,1042.8487,1042.8487,1052.5677,1042.8487,
20260626,S004,931,1074,1083,1073,1074,45800,0.9719,1043.8206,1043.8206,1052.5677,1042.8487,0.0009319664492077884
20260626,S004,932,1075,1083,1073,1080,21900,0.9719,1049.652,1044.7925,1052.5677,1042.8487,0.005586592178770999
20260626,S005,930,1098,1108,1098,1098,44200,1.0045,1102.941,1102.941,1112.9859999999999,1102.941,
20260626,S005,931,1099,1108,1098,1099,45800,1.0045,1103.9455,1103.9455,1112.9859999999999,1102.941,0.0009107468123861207
20260626,S005,932,1100,1108,1098,1105,21900,1.0045,1109.9724999999999,1104.95,1112.9859999999999,1102.941,0.005459508644221955
20260626,S006,930,1123,1133,1123,1123,44200,1.015,1139.8449999999998,1139.8449999999998,1149.995,1139.8449999999998,
20260626,S006,931,1124,1133,1123,1124,45800,1.015,1140.86,1140.86,1149.995,1139.8449999999998,0.0008904719501336977
20260626,S006,932,1125,1133,1123,1130,21900,1.015,1146.9499999999998,1141.875,1149.995,1139.8449999999998,0.005338078291814874
20260626,S007,930,1148,1158,1148,1148,44200,1.0005,1148.5739999999998,1148.5739999999998,1158.579,1148.5739999999998,
20260626,S007,931,1149,1158,1148,1149,45800,1.0005,1149.5745,1149.5745,1158.579,1148.5739999999998,0.0008710801393729817
20260626,S007,932,1150,1158,1148,1155,21900,1.0005,1155.5774999999999,1150.575,1158.579,1148.5739999999998,0.005221932114882533
20260626,S008,930,1173,1183,1173,1173,44200,0.953,1117.869,1117.869,1127.399,1117.869,
20260626,S008,931,1174,1183,1173,1174,45800,0.953,1118.822,1118.822,1127.399,1117.869,0.0008525149190110604
20260626,S008,932,1175,1183,1173,1180,21900,0.953,1124.54,1119.7749999999999,1127.399,1117.869,0.005110732538330609
20260627,S001,930,1001,1011,1001,1001,44200,0.9506,951.5506,951.5506,961.0566,951.5506,
20260627,S001,931,1002,1011,1001,1002,45800,0.9506,952.5012,952.5012,961.0566,951.5506,0.0009990009990010762
20260627,S001,932,1003,1011,1001,1008,21900,0.9506,958.2048,953.4518,961.0566,951.5506,0.0059880239520957446
20260627,S002,930,1026,1036,1026,1026,44200,1.0198,1046.3148,1046.3148,1056.5128,1046.3148,
20260627,S002,931,1027,1036,1026,1027,45800,1.0198,1047.3346000000001,1047.3346000000001,1056.5128,1046.3148,0.0009746588693957392
20260627,S002,932,1028,1036,1026,1033,21900,1.0198,1053.4534,1048.3544,1056.5128,1046.3148,0.0058422590068158975
20260627,S003,930,1051,1061,1051,1051,44200,1.0089,1060.3538999999998,1060.3538999999998,1070.4429,1060.3538999999998,
20260627,S003,931,1052,1061,1051,1052,45800,1.0089,1061.3627999999999,1061.3627999999999,1070.4429,1060.3538999999998,0.0009514747859182826
20260627,S003,932,1053,1061,1051,1058,21900,1.0089,1067.4162,1062.3717,1070.4429,1060.3538999999998,0.005703422053231932
